regional_id,name
49,TIUMANG
49,PADANG LAWEH
49,SITIUNG
49,TIMPEH
49,PULAU PUNJUNG
49,IX KOTO
50,SEPULUH KOTO
50,BATIPUH
50,BATIPUH SELATAN
50,PARIANGAN
50,RAMBATAN
50,LIMA KAUM
50,TANJUNG EMAS
50,PADANG GANTING
50,LINTAU BUO
50,LINTAU BUO UTARA
50,SUNGAYANG
50,SUNGAI TARAB
50,SALIMPAUNG
50,TANJUNG BARU
51,BATANG ANAI
51,LUBUK ALUNG
51,SINTUK TOBOH GADANG
51,ULAKAN TAPAKIS
51,NAN SABARIS
51,2 X 11 ENAM LINGKUNG
51,ENAM LINGKUNG
51,2 X 11 KAYU TANAM
51,VII KOTO SUNGAI SARIAK
51,PATAMUAN
51,PADANG SAGO
51,V KOTO KP DALAM
51,V KOTO TIMUR
51,SUNGAI LIMAU
51,BATANG GASAN
51,SUNGAI GERINGGING
51,IV KOTO AUR MALINTANG
52,TANJUNG MUTIARA
52,LUBUK BASUNG
52,AMPEK NAGARI
52,TANJUNG RAYA
52,MATUR
52,IV KOTO
52,MALALAK
52,BANUHAMPU
52,SUNGAI PUA
52,AMPEK ANGKEK
52,CANDUANG
52,BASO
52,TILATANG KAMANG
52,KAMANG MAGEK
52,PALEMBAYAN
52,PALUPUH
53,PAYAKUMBUH
53,AKABILURU
53,LUAK
53,LAREH SAGO HALABAN
53,SITUJUAH LIMO NAGARI
53,HARAU
53,GUGUAK
53,MUNGKA
53,SULIKI
53,BUKIK BARISAN
53,GUNUANG OMEH
53,KAPUR IX
53,PANGKALAN KOTO BARU
54,BONJOL
54,TIGO NAGARI
54,SIMPANG ALAHAN MATI
54,LUBUK SIKAPING
54,DUA KOTO
54,PANTI
54,PADANG GELUGUR
54,RAO
54,MAPAT TUNGGUL
54,MAPAT TUNGGUL SELATAN
54,RAO SELATAN
54,RAO UTARA
55,PAGAI SELATAN
55,SIKAKAP
55,PAGAI UTARA
55,SIPORA SELATAN
55,SIPORA UTARA
55,SIBERUT SELATAN
55,SEBERUT BARAT DAYA
55,SIBERUT TENGAH
55,SIBERUT UTARA
55,SIBERUT BARAT
56,SANGIR
56,SANGIR JUJUAN
56,SANGIR BALAI JANGGO
56,SANGIR BATANG HARI
56,SUNGAI PAGU
56,PAUAH DUO
56,KOTO PARIK GADANG DIATEH
58,BUNGUS TELUK KABUNG
58,LUBUK KILANGAN
58,LUBUK BEGALUNG
58,PADANG SELATAN
58,PADANG TIMUR
58,PADANG BARAT
58,PADANG UTARA
58,NANGGALO
58,KURANJI
58,PAUH
58,KOTO TANGAH
59,LUBUK SIKARAH
59,TANJUNG HARAPAN
59,SAWAH LUNTO
59,SILUNGKANG
59,LEMBAH SEGAR
59,BARANGIN
59,TALAWI
61,PADANG PANJANG BARAT
61,PADANG PANJANG TIMUR
62,GUGUK PANJANG
62,MANDIANGIN KOTO SELAYAN
62,AUR BIRUGO TIGO BALEH
63,PAYAKUMBUH BARAT
63,PAYAKUMBUH SELATAN
63,PAYAKUMBUH TIMUR
63,PAYAKUMBUH UTARA
63,LAMPOSI TIGO NAGORI
64,PARIAMAN SELATAN
64,PARIAMAN TENGAH
64,PARIAMAN TIMUR
64,PARIAMAN UTARA
65,LUNANG SILAUT
65,BASA AMPEK BALAI TAPAN
65,PANCUNG SOAL
65,LINGGO SARI BAGANTI
65,RANAH PESISIR
65,LENGAYANG
65,SUTERA
65,BATANG KAPAS
65,IV JURAI
65,BAYANG
65,IV  NAGARI BAYANG UTARA
65,KOTO XI TARUSAN
66,KAMPAR KIRI
66,KAMPAR KIRI HULU
66,KAMPAR KIRI HILIR
66,GUNUNG SAHILAN
66,KAMPAR KIRI TENGAH
66,XIII KOTO KAMPAR
66,KOTO KAMPAR HULU
66,BANGKINANG BARAT
66,SALO
66,TAPUNG
66,TAPUNG HULU
66,TAPUNG HILIR
66,BANGKINANG
66,BANGKINANG SEBERANG
66,KAMPAR
66,KAMPAR TIMUR
66,RUMBIO JAYA
66,KAMPAR UTARA
66,TAMBANG
66,SIAK HULU
66,PERHENTIAN RAJA
67,PERANAP
67,BATANG PERANAP
67,SEBERIDA
67,BATANG CENAKU
67,BATANG GANSAL
67,KELAYANG
67,RAKIT KULIM
67,PASIR PENYU
67,LIRIK
67,SUNGAI LALA
67,LUBUK BATU JAYA
67,RENGAT BARAT
67,RENGAT
67,KUALA CENAKU
68,MANDAU
68,PINGGIR
68,BUKIT BATU
68,SIAK KECIL
68,RUPAT
68,RUPAT UTARA
68,BENGKALIS
68,BANTAN
68,ROKAN HILIR
68,TANAH PUTIH
68,PUJUD
68,TANAH PUTIH TANJUNG MELAWAN
68,RANTAU KOPAR
68,BAGAN SINEMBAH
68,SIMPANG KANAN
68,KUBU
68,PASIR LIMAU KAPAS
68,BANGKO
68,SINABOI
68,BATU HAMPAR
68,RIMBA MELINTANG
68,BANGKO PUSAKO
69,KERITANG
69,KEMUNING
69,RETEH
69,SUNGAI BATANG
69,ENOK
69,TANAH MERAH
69,KUALA INDRAGIRI
69,CONCONG
69,TEMBILAHAN
69,TEMBILAHAN HULU
69,TEMPULING
69,KEMPAS
69,BATANG TUAKA
69,GAUNG ANAK SERKA
69,GAUNG
69,MANDAH
69,KATEMAN
69,PELANGIRAN
69,TELUK BELENGKONG
69,PULAU BURUNG
70,LANGGAM
70,PANGKALAN KERINCI
70,BANDAR SEIKIJANG
70,PANGKALAN KURAS
70,UKUI
70,PANGKALAN LESUNG
70,BUNUT
70,PELALAWAN
70,BANDAR PETALANGAN
70,KUALA KAMPAR
70,KERUMUTAN
70,TELUK MERANTI
71,ROKAN IV KOTO
71,PENDALIAN IV KOTO
71,TANDUN
71,KABUN
71,UJUNG BATU
71,RAMBAH SAMO
71,RAMBAH
71,RAMBAH HILIR
71,BANGUN PURBA
71,TAMBUSAI
71,TAMBUSAI UTARA
71,KEPENUHAN
71,KEPENUHAN HULU
71,KUNTO DARUSSALAM
71,PAGARAN TAPAH DARUSSALAM
71,BONAI DARUSSALAM
73,MINAS
73,SUNGAI MANDAU
73,KANDIS
73,SIAK
73,KERINCI KANAN
73,TUALANG
73,DAYUN
73,LUBUK DALAM
73,KOTO GASIB
73,MEMPURA
73,SUNGAI APIT
73,BUNGA RAYA
73,SABAK AUH
73,PUSAKO
74,KUANTAN MUDIK
74,HULU KUANTAN
74,GUNUNG TOAR
74,SINGINGI
74,SINGINGI HILIR
74,KUANTAN TENGAH
74,BENAI
74,KUANTAN HILIR
74,PANGEAN
74,LOGAS TANAH DARAT
74,CERENTI
74,INUMAN
75,TAMPAN
75,PAYUNG SEKAKI
75,BUKIT RAYA
75,MARPOYAN DAMAI
75,TENAYAN RAYA
75,LIMAPULUH
75,SAIL
75,PEKANBARU KOTA
75,SUKAJADI
75,SENAPELAN
75,RUMBAI
75,RUMBAI PESISIR
76,BUKIT KAPUR
76,MEDANG KAMPAI
